ids,name,full_name,inviable
YBL002W,HTB2,Histone h Two B,0
YBL003C,HTA2,Histone h Two A,0
YBL004W,UTP20,U Three Protein,1
YBL005W,PDR3,Pleiotropic Drug Resistance,0
YBL006C,LDB7,Low Dye Binding,0
YBL007C,SLA1,Synthetic Lethal with ABP1,0
YBL008W,HIR1,HIstone Regulation,0
YBL008W-A,,,0
YBL009W,ALK2,,0
YBL010C,LAA2,Large Adaptin Accessory,0
YBL011W,SCT1,Suppressor of Choline-Transport mutants,0
YBL012C,,,0
YBL013W,FMT1,Formyl-Methionyl-tRNA Transformylase,0
YBL014C,RRN6,Regulation of RNA polymerase I,1
YBL015W,ACH1,Acetyl CoA Hydrolase,0
YBL016W,FUS3,cell FUSion,0
YBL017C,PEP1,carboxyPEPtidase Y-deficient,0
YBL018C,POP8,Processing Of Precursor RNAs,1
YBL019W,APN2,APurinic/apyrimidinic eNdonuclease,0
YBL020W,RFT1,Requiring Fifty-Three,1
YBL021C,HAP3,Heme Activator Protein,0
YBL022C,PIM1,Proteolysis In Mitochondria,0
YBL023C,MCM2,MiniChromosome Maintenance,1
YBL024W,NCL1,NuCLear protein,0
YBL025W,RRN10,Regulation of RNA polymerase I,0
YBL026W,LSM2,Like SM,1
YBL027W,RPL19B,Ribosomal Protein of the Large subunit,0
YBL028C,,,0
YBL029C-A,,,0
YBL029W,,,0
YBL030C,PET9,PETite,1
YBL031W,SHE1,Sensitivity to High Expression,0
YBL032W,HEK2,HEterogeneous nuclear rnp K-like gene,0
YBL033C,RIB1,RIBoflavin biosynthesis,0
YBL034C,STU1,Suppressor of TUbulin,1
YBL035C,POL12,POLymerase,1
YBL036C,,,0
YBL037W,APL3,clathrin Adaptor Protein complex Large chain,0
YBL038W,MRPL16,"Mitochondrial Ribosomal Protein, Large subunit",0
YBL039C,URA7,URAcil requiring,0
YBL039W-B,MIN6,mitochondrial MINi protein of ~6 kDa,0
YBL040C,ERD2,Endoplasmic reticulum Retention Defective,1
YBL041W,PRE7,PRoteinase yscE,1
YBL042C,FUI1,5-FlUorourIdine resistance,0
YBL043W,ECM13,ExtraCellular Mutant,0
YBL044W,,,0
YBL045C,COR1,CORe protein of QH2 cytochrome c reductase,0
YBL046W,PSY4,Platinum SensitivitY,0
YBL047C,EDE1,EH Domains and Endocytosis,0
YBL048W,RRT1,Regulator of rDNA Transcription,0
YBL049W,MOH1,,0
YBL050W,SEC17,SECretory,1
YBL051C,PIN4,Psi+ INducibility,0
YBL052C,SAS3,Something About Silencing,0
YBL053W,,,0
YBL054W,TOD6,Twin Of Dot6p,0
YBL055C,,,0
YBL056W,PTC3,Phosphatase Two C,0
YBL057C,PTH2,Peptidyl-Trna Hydrolase,0
YBL058W,SHP1,Suppressor of High-copy PP1,0
YBL059W,IAI11,Interactor of AIm11,0
YBL060W,YEL1,Yeast EFA6-Like,0
YBL061C,SKT5,,0
YBL062W,,,0
YBL063W,KIP1,KInesin related Protein,0
YBL064C,PRX1,PeroxiRedoXin,0
YBL065W,,,0
YBL066C,SEF1,Suppressor of Essential Function,0
YBL067C,UBP13,UBiquitin-specific Protease,0
YBL068W,PRS4,PhosphoRibosylpyrophosphate Synthetase,0
YBL069W,AST1,ATPase STabilizing,0
YBL070C,,,0
YBL071C,,,0
YBL071C-B,,,0
YBL071W-A,KTI11,Kluveromyces lactis Toxin Insensitive,0
YBL072C,RPS8A,Ribosomal Protein of the Small subunit,0
YBL073W,,,1
YBL074C,AAR2,A1-Alpha2 Repression,1
YBL075C,SSA3,Stress-Seventy subfamily A,0
YBL076C,ILS1,IsoLeucine-tRNA Synthetase,1
YBL077W,,,1
YBL078C,ATG8,AuTophaGy related,0
YBL079W,NUP170,NUclear Pore,0
YBL080C,PET112,PETite colonies,0
YBL081W,,,0
YBL082C,ALG3,Asparagine Linked Glycosylation,0
YBL083C,,,0
YBL084C,CDC27,Cell Division Cycle,1
YBL085W,BOI1,Bem1 (One) Interacting protein,0
YBL086C,,,0
YBL087C,RPL23A,Ribosomal Protein of the Large subunit,0
YBL088C,TEL1,TELomere maintenance,0
YBL089W,AVT5,Amino acid Vacuolar Transport,0
YBL090W,MRP21,Mitochondrial Ribosomal Protein,0
YBL091C,MAP2,Methionine AminoPeptidase,0
YBL091C-A,SCS22,Suppressor of Choline Sensitivity,0
YBL092W,RPL32,Ribosomal Protein of the Large subunit,1
YBL093C,ROX3,Regulation by OXygen,0
YBL094C,,,0
YBL095W,MRX3,Mitochondrial oRganization of gene eXpression (MIOREX),0
YBL096C,,,0
YBL097W,BRN1,homolog of BaRreN,1
YBL098W,BNA4,Biosynthesis of Nicotinic Acid,0
YBL099W,ATP1,ATP synthase,0
YBL100C,,,0
YBL100W-C,,,0
YBL101C,ECM21,ExtraCellular Mutant,0
YBL102W,SFT2,Suppressor of sed Five Ts,0
YBL103C,RTG3,ReTroGrade regulation,0
YBL104C,SEA4,SEh1-Associated,0
YBL105C,PKC1,Protein Kinase C,1
YBL106C,SRO77,Suppressor of rho3,0
YBL107C,MIX23,Mitochondrial Intermembrane space CX(n)C motif protein,0
YBR001C,NTH2,Neutral TreHalase,0
YBR002C,RER2,Retention in the Endoplasmic Reticulum,1
YBR003W,COQ1,COenzyme Q,0
YBR004C,GPI18,GlycosylPhosphatidylInositol,1
YBR005W,RCR1,Resistance to Congo Red,0
YBR007C,DSF2,Deletion Suppressor of mptFive/pufFive mutation,0
YBR008C,FLR1,FLuconazole Resistance,0
YBR009C,HHF1,Histone H Four,0
YBR010W,HHT1,Histone H Three,0
YBR011C,IPP1,Inorganic PyroPhosphatase,1
YBR012C,,,0
YBR013C,,,0
YBR014C,GRX7,GlutaRedoXin,0
YBR015C,MNN2,MaNNosyltransferase,0
YBR016W,,,0
YBR017C,KAP104,KAryoPherin,0
YBR018C,GAL7,GALactose metabolism,0
YBR019C,GAL10,GALactose metabolism,0
YBR020W,GAL1,GALactose metabolism,0
YBR021W,FUR4,5-FlUoRouridine sensitivity,0
YBR022W,POA1,"Phosphatase Of ADP-ribose 1""-phosphate",0
YBR023C,CHS3,CHitin Synthase-related,0
YBR024W,SCO2,Suppressor of Cytochrome Oxidase deficiency,0
YBR025C,OLA1,Obg-Like ATPase,0
YBR026C,ETR1,2-Enoyl Thioester Reductase,0
YBR027C,,,0
YBR028C,YPK3,,0
YBR029C,CDS1,CDP-Diacylglycerol Synthase,1
YBR030W,RKM3,Ribosomal lysine (K) Methyltransferase,0
YBR031W,RPL4A,Ribosomal Protein of the Large subunit,0
YBR032W,,,0
YBR033W,EDS1,Expression Dependent on Slt2,0
YBR034C,HMT1,HnRNP MethylTransferase,0
YBR035C,PDX3,PyriDoXine auxotrophy,0
YBR036C,CSG2,Calcium Sensitive Growth,0
YBR037C,SCO1,Suppressor of Cytochrome Oxidase deficiency,0
YBR038W,CHS2,CHitin Synthase,1
YBR039W,ATP3,ATP synthase,0
YBR040W,FIG1,Factor-Induced Gene,0
YBR041W,FAT1,FATty acid transporter,0
YBR042C,CST26,Chromosome STability,0
YBR043C,QDR3,QuiniDine Resistance,0
YBR044C,TCM62,TriCarboxylic acid cycle Mutant,0
YBR045C,GIP1,Glc7-Interacting Protein,0
YBR046C,ZTA1,ZeTA-crystallin,0
YBR047W,FMP23,Found in Mitochondrial Proteome,0
YBR048W,RPS11B,Ribosomal Protein of the Small subunit,0
YBR049C,REB1,RNA polymerase I Enhancer Binding protein,1
YBR050C,REG2,REsistance to Glucose repression,0
YBR051W,,,0
YBR052C,RFS1,Rad55 (Fifty-five) Suppressor,0
YBR053C,,,0
YBR054W,YRO2,,0
YBR055C,PRP6,Pre-mRNA Processing,1
YBR056W,MRX18,Mitochondrial oRganization of gene eXpression (MIOREX),0
YBR056W-A,MNC1,MaNganese Chelating protein 1,0
YBR057C,MUM2,MUddled Meiosis,0
YBR058C,UBP14,UBiquitin-specific Protease,0
YBR058C-A,TSC3,Temperature-sensitive Suppressors of Csg2 mutants,0
YBR059C,AKL1,Ark family Kinase-Like protein,0
YBR060C,ORC2,Origin Recognition Complex,1
YBR061C,TRM7,Transfer RNA Methyltransferase,0
YBR062C,,,0
YBR063C,CNM1,Contact Nucleus Mitochondria 1,0
YBR064W,,,0
YBR065C,ECM2,ExtraCellular Mutant,0
YBR066C,NRG2,Negative Regulator of Glucose-controlled genes,0
YBR067C,TIP1,Temperature shock-Inducible Protein,0
YBR068C,BAP2,Branched-chain Amino acid Permease,0
YBR069C,TAT1,Tyrosine and tryptophan Amino acid Transporter,0
YBR070C,ALG14,Asparagine Linked Glycosylation,1
YBR071W,,,0
YBR072C-A,,,0
YBR072W,HSP26,Heat Shock Protein,0
YBR073W,RDH54,RaD54 Homolog,0
YBR074W,PFF1,Protease in FXNA-related Family,0
YBR076W,ECM8,ExtraCellular Mutant,0
YBR077C,SLM4,Synthetic Lethal with Mss4,0
YBR078W,ECM33,ExtraCellular Mutant,0
YBR079C,RPG1,,1
YBR080C,SEC18,SECretory,1
YBR081C,SPT7,SuPpressor of Ty's,0
YBR082C,UBC4,UBiquitin-Conjugating,0
YBR083W,TEC1,Transposon Enhancement Control,0
YBR084C-A,RPL19A,Ribosomal Protein of the Large subunit,0
YBR084W,MIS1,MItochondrial C1-tetrahydrofolate Synthase,0
YBR085C-A,,,0
YBR085W,AAC3,ADP/ATP Carrier,0
YBR086C,IST2,Increased Sodium Tolerance,0
YBR087W,RFC5,Replication Factor C,1
YBR088C,POL30,POLymerase,1
YBR089W,,,1
YBR090C,,,0
YBR091C,TIM12,Translocase of the Inner Membrane,1
YBR092C,PHO3,PHOsphate metabolism,0
YBR093C,PHO5,PHOsphate metabolism,0
YBR094W,PBY1,P-BodY associated protein,0
YBR095C,RXT2,,0
YBR096W,,,0
YBR097W,VPS15,Vacuolar Protein Sorting,0
YBR098W,MMS4,Methyl MethaneSulfonate sensitivity,0
YBR099C,,,0
YBR101C,FES1,Factor Exchange for Ssa1p,0
YBR102C,EXO84,EXOcyst,1
YBR103W,SIF2,Sir4p-Interacting Factor,0
YBR104W,YMC2,Yeast Mitochondrial Carrier,0
YBR105C,VID24,Vacuolar Import and Degradation,0
YBR106W,SND3,SRP-iNDependent targeting,0
YBR107C,IML3,Increased Minichromosome Loss,0
YBR108W,AIM3,Altered Inheritance rate of Mitochondria,0
YBR109C,CMD1,CalMoDulin,1
YBR110W,ALG1,Asparagine-Linked Glycosylation,1
YBR111C,YSA1,,0
YBR111W-A,SUS1,Sl gene Upstream of ySa1,0
YBR112C,CYC8,CYtochrome C,0
YBR113W,,,0
YBR114W,RAD16,RADiation sensitive,0
YBR115C,LYS2,LYSine requiring,0
YBR116C,,,0
YBR117C,TKL2,TransKetoLase,0
YBR118W,TEF2,Translation Elongation Factor,0
YBR119W,MUD1,Mutant U1 Die,0
YBR120C,CBP6,Cytochrome B Protein synthesis,0
YBR121C,GRS1,Glycyl-tRNA Synthase,1
YBR122C,MRPL36,"Mitochondrial Ribosomal Protein, Large subunit",0
YBR123C,TFC1,Transcription Factor class C,1
YBR124W,,,1
YBR125C,PTC4,Phosphatase Two C,0
YBR126C,TPS1,Trehalose-6-Phosphate Synthase,0
YBR127C,VMA2,Vacuolar Membrane Atpase,0
YBR128C,ATG14,AuTophaGy related,0
YBR129C,OPY1,Overproduction-induced Pheromone-resistant Yeast,0
YBR130C,SHE3,Swi5p-dependent HO Expression,0
YBR131W,CCZ1,Calcium Caffeine Zinc sensitivity,0
YBR132C,AGP2,high-Affinity Glutamine Permease,0
YBR133C,HSL7,Histone Synthetic Lethal,0
YBR134W,,,0
YBR135W,CKS1,Cdc28 Kinase Subunit,1
YBR136W,MEC1,Mitosis Entry Checkpoint,1
YBR137W,,,0
YBR138C,,,0
YBR139W,ATG42,AuTophaGy,0
YBR140C,IRA1,Inhibitory Regulator of the RAS-cAMP pathway,1
YBR141C,BMT2,Base MethylTransferase of 25S RNA,0
YBR142W,MAK5,MAintenance of Killer,1
YBR143C,SUP45,SUPpressor,1
YBR144C,,,0
YBR145W,ADH5,Alcohol DeHydrogenase,0
YBR146W,MRPS9,"Mitochondrial Ribosomal Protein, Small subunit",0
YBR147W,RTC2,Restriction of Telomere Capping,0
YBR148W,YSW1,,0
YBR149W,ARA1,D-ARAbinose dehydrogenase,0
YBR150C,TBS1,ThiaBendazole Sensitive,0
YBR151W,APD1,Actin Patches Distal,0
YBR152W,SPP381,Suppressor of PrP38-1,1
YBR153W,RIB7,RIBoflavin biosynthesis,1
YBR154C,RPB5,RNA Polymerase B,1
YBR155W,CNS1,CyclophiliN Seven suppressor,1
YBR156C,SLI15,Synthetically Lethal with Ipl1,0
YBR157C,ICS2,Increased Copper Sensitivity,0
YBR158W,AMN1,Antagonist of Mitotic exit Network,0
YBR159W,IFA38,,0
YBR160W,CDC28,Cell Division Cycle,1
YBR161W,CSH1,CSG1/SUR1 Homolog,0
YBR162C,TOS1,Target Of Sbf,0
YBR162W-A,YSY6,,0
YBR163W,EXO5,EXOnuclease V,0
YBR164C,ARL1,ADP-Ribosylation factor-Like,0
YBR165W,UBS1,UBiquitin-conjugating enzyme Suppressor,0
YBR166C,TYR1,TYRosine,0
YBR167C,POP7,Processing Of Precursor RNAs,1
YBR168W,PEX32,PEroXisome related,0
YBR169C,SSE2,Stress Seventy subfamily E,0
YBR170C,NPL4,Nuclear Protein Localization,0
YBR171W,SEC66,SECretory,0
YBR172C,SMY2,Suppressor of MYo2-66,0
YBR173C,UMP1,Ubiquitin-Mediated Proteolysis,0
YBR174C,,,0
YBR175W,SWD3,"Set1c, WD40 repeat protein",0
YBR176W,ECM31,ExtraCellular Mutant,0
YBR177C,EHT1,Ethanol Hexanoyl Transferase,0
YBR178W,,,0
YBR179C,FZO1,FuZzy Onions homolog,0
YBR180W,DTR1,DiTyRosine,0
YBR181C,RPS6B,Ribosomal Protein of the Small subunit,0
YBR182C,SMP1,Second MEF2-like Protein 1,0
YBR182C-A,,,0
YBR183W,YPC1,Yeast Phyto-Ceramidase,0
YBR184W,,,0
YBR185C,MBA1,Multi-copy Bypass of AFG3,0
YBR186W,PCH2,Pachytene CHeckpoint,0
YBR187W,GDT1,Gcr1 Dependent Translation factor,0
YBR188C,NTC20,Prp19p (NineTeen)-associated Complex,0
YBR189W,RPS9B,Ribosomal Protein of the Small subunit,0
YBR190W,,,1
YBR191W,RPL21A,Ribosomal Protein of the Large subunit,0
YBR192W,RIM2,Replication In Mitochondria,1
YBR193C,MED8,MEDiator complex,1
YBR194W,AIM4,Altered Inheritance rate of Mitochondria,0
YBR195C,MSI1,Multicopy Suppressor of IRA1,0
YBR196C,PGI1,PhosphoGlucoIsomerase,1
YBR196C-A,,,0
YBR196C-B,,,0
YBR197C,,,0
YBR198C,TAF5,TATA binding protein-Associated Factor,1
YBR199W,KTR4,Kre Two Related,0
YBR200W,BEM1,Bud EMergence,0
YBR200W-A,,,0
YBR201W,DER1,Degradation in the Endoplasmic Reticulum,0
YBR202W,MCM7,MiniChromosome Maintenance,1
YBR203W,COS111,Ciclopirox Olamine Sensitive,0
YBR204C,LDH1,Lipid Droplet Hydrolase,0
YBR205W,KTR3,Kre Two Related,0
YBR206W,,,0
YBR207W,FTH1,FTR1 Homolog,0
YBR208C,DUR12,Degradation of URea,0
YBR209W,,,0
YBR210W,ERV15,ER Vesicle Protein,0
YBR211C,AME1,Associated with Microtubules and Essential,1
YBR212W,NGR1,Negative Growth Regulatory protein,0
YBR213W,MET8,METhionine requiring,0
YBR214W,SDS24,homolog of S. pombe SDS23,0
YBR215W,HPC2,Histone Periodic Control,0
YBR216C,YBP1,Yap1-Binding Protein,0
YBR217W,ATG12,AuTophaGy related,0
YBR218C,PYC2,PYruvate Carboxylase,0
YBR219C,,,0
YBR220C,,,0
YBR221C,PDB1,Pyruvate Dehydrogenase Beta subunit,0
YBR221W-A,,,0
YBR222C,PCS60,Peroxisomal CoA-dependent Synthetase,0
YBR223C,TDP1,Tyrosyl-DNA Phosphodiesterase,0
YBR224W,,,0
YBR225W,,,0
YBR226C,,,0
YBR227C,MCX1,Mitochondrial ClpX,0
YBR228W,SLX1,Synthetic Lethal of unknown (X) function,0
YBR229C,ROT2,Reversal Of Tor2 lethality,0
YBR230C,OM14,Outer Membrane Protein of 14 kDa,0
YBR231C,SWC5,SWr Complex,0
YBR232C,,,0
YBR233W,PBP2,Pbp1p Binding Protein,0
YBR233W-A,DAD3,Duo1 And Dam1 interacting,1
YBR234C,ARC40,ARp2/3 Complex subunit,1
YBR235W,VHC1,Vacuolar protein Homologous to CCC family,0
YBR236C,ABD1,,1
YBR237W,PRP5,Pre-mRNA Processing,1
YBR238C,,,0
YBR239C,ERT1,Ethanol Regulated Transcription factor,0
YBR240C,THI2,THIamine metabolism,0
YBR241C,VVS1,Vacuolar protein Vital for Stress response,0
YBR242W,,,0
YBR243C,ALG7,Asparagine-Linked Glycosylation,1
YBR244W,GPX2,Glutathione PeroXidase,0
YBR245C,ISW1,Imitation SWitch subfamily,0
YBR246W,RRT2,Regulator of rDNA Transcription,0
YBR247C,ENP1,Essential Nuclear Protein,1
YBR248C,HIS7,HIStidine requiring,0
YBR249C,ARO4,AROmatic amino acid requiring,0
YBR250W,SPO23,SPOrulation,0
YBR251W,MRPS5,"Mitochondrial Ribosomal Protein, Small subunit",0
YBR252W,DUT1,DUTp pyrophosphatase,1
YBR253W,SRB6,Suppressor of RNA polymerase B,1
YBR254C,TRS20,TRapp Subunit,1
YBR255W,MTC4,Maintenance of Telomere Capping,0
YBR256C,RIB5,RIBoflavin biosynthesis,1
YBR257W,POP4,Processing Of Precursor RNAs,1
YBR258C,SHG1,"Set1c, Hypothetical G",0
YBR259W,,,0
YBR260C,RGD1,Related GAP Domain,0
YBR261C,TAE1,Translation Associated Element,0
YBR262C,MIC12,MItochondrial contact site and Cristae organizing system,0
YBR263W,SHM1,Serine HydroxyMethyltransferase,0
YBR264C,YPT10,Yeast Protein Two,0
YBR265W,TSC10,Temperature-sensitive Suppressors of Csg2 mutants,1
YBR266C,SLM6,Synthetic Lethal with Mss4,0
YBR267W,REI1,REquired for Isotropic bud growth,0
YBR268W,MRPL37,"Mitochondrial Ribosomal Protein, Large subunit",0
YBR269C,SDH8,Succinate DeHydrogenase,0
YBR270C,BIT2,Binding partner of Tor2p,0
YBR271W,EFM2,Elongation Factor Methyltransferase,0
YBR272C,HSM3,enHanced Spontaneous Mutability,0
YBR273C,UBX7,UBiquitin regulatory X,0
YBR274W,CHK1,CHeckpoint Kinase,0
YBR275C,RIF1,RAP1-Interacting Factor,0
YBR276C,PPS1,Protein Phosphatase S phase,0
YBR277C,,,0
YBR278W,DPB3,DNA Polymerase B (II) subunit,0
YBR279W,PAF1,RNA Polymerase II Associated Factor,0
YBR280C,SAF1,SCF Associated Factor,0
YBR281C,DUG2,Deficient in Utilization of Glutathione,0
YBR282W,MRPL27,"Mitochondrial Ribosomal Protein, Large subunit",0
YBR283C,SSH1,Sec Sixty-one Homolog,0
YBR284W,,,0
YBR285W,,,0
YBR286W,APE3,AminoPEptidase,0
YBR287W,,,0
YBR288C,APM3,clathrin Adaptor Protein complex Medium chain,0
YBR289W,SNF5,Sucrose NonFermenting,0
YBR290W,BSD2,Bypass Sod1p Defects,0
YBR291C,CTP1,Citrate Transport Protein,0
YBR292C,,,0
YBR293W,VBA2,Vacuolar Basic Amino acid transporter,0
YBR294W,SUL1,SULfate,0
YBR295W,PCA1,P-type Cation-transporting ATPase,0
YBR296C,PHO89,PHOsphate metabolism,0
YBR296C-A,TYC1,Tiny Yeast Comet 1,0
YBR297W,MAL33,MALtose,0
YBR298C,MAL31,MALtose fermentation,0
YBR300C,,,0
YBR301W,PAU24,seriPAUperin family,0
YCL001W,RER1,Retention in the Endoplasmic Reticulum,0
YCL001W-A,,,0
YCL001W-B,,,0
YCL002C,,,0
YCL004W,PGS1,PhosphatidylGlycerolphosphate Synthase,1
YCL005W,LDB16,Low Dye Binding,0
YCL007C,,,0
YCL008C,STP22,STerile Pseudoreversion,0
YCL009C,ILV6,IsoLeucine Valine,0
YCL010C,SGF29,SaGa associated Factor,0
YCL011C,GBP2,G-strand Binding Protein,0
YCL014W,BUD3,BUD site selection,0
YCL016C,DCC1,Defective in sister Chromatid Cohesion,0
YCL017C,NFS1,NiFS-like,1
YCL022C,,,0
YCL023C,,,0
YCL024W,KCC4,,0
YCL025C,AGP1,high-Affinity Glutamine Permease,0
YCL026C-A,FRM2,Fatty acid Repression Mutant,0
YCL027W,FUS1,cell FUSion,0
YCL028W,RNQ1,Rich in asparagine (N) and glutamine (Q),0
YCL029C,BIK1,BIlateral Karyogamy defect,0
YCL030C,HIS4,HIStidine requiring,0
YCL031C,RRP7,Ribosomal RNA Processing,1
YCL032W,STE50,STErile,0
YCL033C,MXR2,peptide Methionine sulfoXide Reductase,0
YCL034W,LSB5,Las Seventeen Binding protein,0
YCL035C,GRX1,GlutaRedoXin,0
YCL036W,GFD2,Great for Full DEAD box protein activity,0
YCL037C,SRO9,Suppressor of rho3,0
YCL038C,ATG22,AuTophaGy related,0
YCL039W,GID7,Glucose Induced Degradation deficient,0
YCL040W,GLK1,GLucoKinase,0
YCL041C,,,1
YCL042W,,,0
YCL043C,PDI1,Protein Disulfide Isomerase,1
YCL044C,MGR1,Mitochondrial Genome Required,0
YCL045C,EMC1,ER Membrane protein Complex,0
YCL046W,,,0
YCL047C,POF1,Promoter Of Filamentation,0
YCL048W,SPS22,SPorulation Specific 2 too (2),0
YCL049C,,,0
YCL050C,APA1,AP4A phosphorylase,0
YCL051W,LRE1,Laminarase REsistance,0
YCL052C,PBN1,Protease B Non-derepressible,1
YCL054W,SPB1,Suppressor of PaB1 mutant,1
YCL055W,KAR4,KARyogamy,0
YCL056C,PEX34,PEroXin,0
YCL057C-A,MIC10,MItochondrial contact site and Cristae organizing system,0
YCL057W,PRD1,PRoteinase yscD,0
YCL058C,FYV5,Function required for Yeast Viability,0
YCL058W-A,ADF1,Antisense of Depressing Factor,0
YCL059C,KRR1,contains KRR-R motif,1
YCL061C,MRC1,Mediator of the Replication Checkpoint,0
YCL063W,VAC17,VACuole related,0
YCL064C,CHA1,Catabolism of Hydroxy Amino acids,0
YCL069W,VBA3,Vacuolar Basic Amino acid transporter,0
YCL076W,,,0
YCR001W,,,0
YCR002C,CDC10,Cell Division Cycle,0
YCR003W,MRPL32,"Mitochondrial Ribosomal Protein, Large subunit",0
YCR004C,YCP4,,0
YCR005C,CIT2,CITrate synthase,0
YCR006C,,,0
YCR007C,,,0
YCR008W,SAT4,,0
YCR009C,RVS161,Reduced Viability on Starvation,0
YCR010C,ADY2,Accumulation of DYads,0
YCR011C,ADP1,ATP-Dependent Permease,0
YCR012W,PGK1,3-PhosphoGlycerate Kinase,1
YCR013C,,,1
YCR014C,POL4,POLymerase,0
YCR015C,CTO1,Cold TOlerance,0
YCR016W,,,0
YCR017C,CWH43,Calcofluor White Hypersensitive,0
YCR019W,MAK32,MAintenance of Killer,0
YCR020C,PET18,PETite colonies,0
YCR020C-A,MAK31,MAintenance of Killer,0
YCR020W-B,HTL1,High-Temperature Lethal,0
YCR021C,HSP30,Heat Shock Protein,0
YCR022C,,,0
YCR023C,,,0
YCR024C,SLM5,Synthetic Lethal with Mss4,0
YCR024C-A,PMP1,Plasma Membrane Proteolipid,0
YCR025C,,,0
YCR026C,NPP1,ecto-Nucleotide Pyrophosphatase/Phosphodiesterase,0
YCR027C,RHB1,RHeB homolog,0
YCR028C,FEN2,FENpropimorph resistance,0
YCR028C-A,RIM1,Replication In Mitochondria,0
YCR030C,SYP1,Suppressor of Yeast Profilin deletion,0
YCR031C,RPS14A,Ribosomal Protein of the Small subunit,0
YCR032W,BPH1,Beige Protein Homolog,0
